seed,mse_mean_D,control_mean_D,delta_mean_D,mse_p95_D,control_p95_D,delta_p95_D,mse_viability_occupancy,control_viability_occupancy,delta_viability_occupancy,mse_severe_fraction,control_severe_fraction,delta_severe_fraction,mse_action_agreement,control_action_agreement,delta_action_agreement,mse_cumulative_task,control_cumulative_task,delta_cumulative_task
1121303941,0.023423275456894235,0.02050343466576114,-0.002919840791133093,0.050334949969846686,0.03799727512849488,-0.012337674841351808,0.9475,0.9875,0.040000000000000036,0.0,0.0,0.0,0.595,0.64,0.04500000000000004,197.93857735500183,191.84558992181465,-6.092987433187176
3196228605,0.02469068356936348,0.020306075184116267,-0.004384608385247214,0.053541118411224886,0.03747912973994649,-0.016061988671278393,0.9275,0.9825,0.05500000000000005,0.0,0.0,0.0,0.6075,0.6325,0.02499999999999991,196.8943806632732,192.2703944365323,-4.623986226740897
221625900,0.025061160184144598,0.021471901078483714,-0.0035892591056608837,0.05409088963977885,0.03762479516603227,-0.016466094473746584,0.9175,0.9825,0.06500000000000006,0.0,0.0,0.0,0.5925,0.605,0.012499999999999956,197.446418445494,192.26222334866125,-5.184195096832752
24556962,0.02403907940002324,0.020967618877162517,-0.003071460522860725,0.048837587346249094,0.04040765298605606,-0.008429934360193035,0.9525,0.9675,0.015000000000000013,0.0,0.0,0.0,0.59,0.6675,0.07750000000000001,196.7907415801551,192.36669553014653,-4.42404605000857
1484661926,0.024815105244064144,0.021866287703389154,-0.0029488175406749903,0.058487222718177065,0.04588754636035897,-0.012599676357818092,0.9175,0.9675,0.050000000000000044,0.0,0.0,0.0,0.6325,0.635,0.0025000000000000577,187.05722846652662,182.75993191404052,-4.297296552486102
1712368201,0.023662899591774113,0.020027696562411358,-0.0036352030293627553,0.052067188091889746,0.03654462283264861,-0.015522565259241138,0.9425,0.9825,0.040000000000000036,0.0,0.0,0.0,0.59,0.675,0.08500000000000008,204.05687560647493,197.49944362601306,-6.557431980461871
2943481395,0.023624362515082344,0.020193644136719133,-0.0034307183783632116,0.04879329111728336,0.037863788462640956,-0.010929502654642403,0.9575,0.98,0.022499999999999964,0.0,0.0,0.0,0.635,0.6325,-0.0025000000000000577,198.17292847146015,194.65764260804087,-3.5152858634192796
46933808,0.024783202125476498,0.022114225680508942,-0.002668976444967556,0.05952523018221095,0.04009849779548041,-0.019426732386730546,0.9175,0.9675,0.050000000000000044,0.0,0.0,0.0,0.6175,0.63,0.012499999999999956,194.02440488785618,189.16110826317737,-4.86329662467881
3325848625,0.02540524918535733,0.021564313573623952,-0.0038409356117333794,0.05454580078177222,0.04003048564291835,-0.014515315138853874,0.9275,0.98,0.05249999999999999,0.0,0.0,0.0,0.6025,0.61,0.007499999999999951,198.92994628745925,193.50172225663363,-5.428224030825618
1838686533,0.023107544171918296,0.0212152394697246,-0.0018923047021936965,0.0483036146358237,0.03811003542371793,-0.010193579212105772,0.96,0.9825,0.022500000000000075,0.0,0.0,0.0,0.5825,0.595,0.012499999999999956,198.53656831816824,196.54672717272413,-1.9898411454441032
1615212051,0.024852773885766958,0.02139520981156457,-0.003457564074202387,0.05324564845944484,0.043203039583699525,-0.010042608875745318,0.9275,0.96,0.03249999999999997,0.0,0.0,0.0,0.5975,0.6475,0.04999999999999993,196.65531230359113,190.9593139669987,-5.6959983365924245
3077125892,0.024277691986726257,0.0204938864439094,-0.003783805542816855,0.05689766858224243,0.037192952800312776,-0.019704715781929658,0.9275,0.9825,0.05500000000000005,0.0,0.0,0.0,0.635,0.615,-0.020000000000000018,202.07463855750223,194.57519027072988,-7.499448286772349
3628515777,0.024195458010531187,0.01994546427713605,-0.004249993733395137,0.056283056597492234,0.03596404239156606,-0.020319014205926175,0.9375,0.9825,0.04500000000000004,0.0,0.0,0.0,0.6,0.625,0.025000000000000022,198.3960390076332,192.25037403610108,-6.145664971532113
521944176,0.025082932228214627,0.022102648353751215,-0.0029802838744634116,0.056761646879214034,0.04405545043197025,-0.012706196447243787,0.935,0.9625,0.02749999999999997,0.0,0.0,0.0,0.595,0.63,0.03500000000000003,193.1575714971288,190.6524923716709,-2.505079125457911
78643303,0.02482315384637812,0.020182827286354125,-0.004640326560023996,0.05418191160231975,0.037324014583581165,-0.016857897018738584,0.9175,0.98,0.0625,0.0,0.0,0.0,0.6225,0.67,0.04749999999999999,200.50942799722537,193.8057635710367,-6.703664426188681
4091624044,0.026512689916395535,0.020616276345223002,-0.0058964135711725325,0.05999891820905086,0.04020274888318069,-0.019796169325870167,0.9125,0.9775,0.06500000000000006,0.0,0.0,0.0,0.5925,0.6925,0.09999999999999998,196.09147050327374,190.34899678897665,-5.742473714297091
424169325,0.02475011449038833,0.020486353459606265,-0.004263761030782066,0.054745320049343245,0.03928216579039301,-0.015463154258950236,0.925,0.9825,0.057499999999999996,0.0,0.0,0.0,0.58,0.6325,0.05249999999999999,200.74431423236067,192.3575970987663,-8.386717133594374
2736901382,0.024534132337194883,0.020856871565525105,-0.0036772607716697783,0.055232895529001465,0.03971668856924859,-0.015516206959752872,0.94,0.9825,0.04250000000000009,0.0,0.0,0.0,0.6175,0.625,0.007499999999999951,196.87626994220358,192.30271769352518,-4.573552248678396
3928974787,0.026217656135373614,0.021344003825135606,-0.004873652310238008,0.05706484192063455,0.03998335086263045,-0.017081491058004106,0.915,0.97,0.05499999999999994,0.0,0.0,0.0,0.61,0.685,0.07500000000000007,193.6034775870393,187.3085553150189,-6.294922272020386
2657888800,0.024340389898504775,0.019765613553648954,-0.00457477634485582,0.05114325914352136,0.03613409065159773,-0.01500916849192363,0.9425,0.9825,0.040000000000000036,0.0,0.0,0.0,0.57,0.6725,0.10250000000000004,196.68058423197596,191.95853979278627,-4.722044439189688
3470250473,0.025014360898399018,0.020735965664820246,-0.004278395233578772,0.053536504738948686,0.03666260711173046,-0.016873897627218228,0.9375,0.98,0.04249999999999998,0.0,0.0,0.0,0.595,0.615,0.020000000000000018,193.7968096138768,188.96267430480617,-4.834135309070632
3975695974,0.024041044869207565,0.020657479438784224,-0.003383565430423341,0.05429614224657672,0.036342129237713405,-0.017954013008863318,0.9375,0.9775,0.040000000000000036,0.0,0.0,0.0,0.625,0.6225,-0.0024999999999999467,197.6830187065553,194.7760278128315,-2.906990893723787
553340302,0.024836139560951674,0.021728715681215593,-0.0031074238797360806,0.056491997407663516,0.042029244774121656,-0.01446275263354186,0.9325,0.965,0.03249999999999997,0.0,0.0,0.0,0.625,0.6325,0.007499999999999951,195.062249310269,190.6434381245251,-4.41881118574392
2148863229,0.025112455019454333,0.021621296299579287,-0.003491158719875046,0.056946410556837045,0.03960549011600352,-0.017340920440833525,0.925,0.97,0.04499999999999993,0.0,0.0,0.0,0.625,0.6325,0.007499999999999951,194.06754503201182,188.3132596229485,-5.754285409063328
3466317101,0.023744868150227864,0.020740053350710382,-0.0030048147995174815,0.05108039726793472,0.03951752889288687,-0.01156286837504785,0.9425,0.97,0.02749999999999997,0.0,0.0,0.0,0.6225,0.6275,0.004999999999999893,195.2424195988122,189.6993940794007,-5.543025519411515
2177125869,0.02500337630794053,0.021288409769750452,-0.0037149665381900794,0.05758311473249194,0.04127325234936153,-0.01630986238313041,0.925,0.9725,0.04749999999999999,0.0,0.0,0.0,0.6275,0.6625,0.03500000000000003,190.77471468306965,187.97124757244535,-2.8034671106242968
3963856988,0.025140469439377148,0.02083134386290289,-0.004309125576474258,0.050989892176707706,0.03849425447875567,-0.012495637697952033,0.9425,0.9775,0.03500000000000003,0.0,0.0,0.0,0.595,0.6275,0.03249999999999997,194.5855890263438,190.15073848794054,-4.4348505384032535
3430078599,0.023964043099624535,0.02135423712095111,-0.002609805978673427,0.04824149970622772,0.039079233021039016,-0.009162266685188707,0.9575,0.9775,0.020000000000000018,0.0,0.0,0.0,0.61,0.6125,0.0025000000000000577,189.81460489896966,187.61778301634467,-2.196821882624988
501265473,0.0238925111143854,0.020078857642400107,-0.0038136534719852913,0.05316575921774943,0.037434127660877774,-0.015731631556871656,0.9225,0.985,0.0625,0.0,0.0,0.0,0.6075,0.635,0.02749999999999997,202.35619183967938,197.1987693527245,-5.157422486954886
77119178,0.024797974090444548,0.02135592750208077,-0.0034420465883637785,0.05787448577108418,0.04100865064753836,-0.016865835123545822,0.915,0.97,0.05499999999999994,0.0,0.0,0.0,0.62,0.63,0.010000000000000009,193.17449436771477,187.7074058741436,-5.467088493571168
3314514082,0.025307815590115097,0.02092162622414429,-0.004386189365970808,0.05336270012776663,0.03802878191215272,-0.01533391821561391,0.9375,0.9825,0.04500000000000004,0.0,0.0,0.0,0.5925,0.65,0.057499999999999996,197.50897801074728,192.3255608673425,-5.183417143404796
1754403896,0.024478710278962545,0.02105628726964044,-0.0034224230093221064,0.055604500918567966,0.04106923432672386,-0.014535266591844107,0.94,0.97,0.030000000000000027,0.0,0.0,0.0,0.6025,0.615,0.012499999999999956,193.71191626671379,189.5143914897202,-4.197524776993589
758252554,0.024313609472586716,0.020779633249219207,-0.0035339762233675097,0.054990758570964866,0.03623791296400116,-0.018752845606963706,0.935,0.98,0.04499999999999993,0.0,0.0,0.0,0.59,0.6175,0.02750000000000008,196.69329808991824,192.20115063960722,-4.492147450311023
1769140432,0.02645068465474454,0.02226570592259062,-0.00418497873215392,0.06072564850897054,0.04457177755331066,-0.01615387095565988,0.905,0.9675,0.0625,0.0,0.0,0.0,0.5975,0.6,0.0024999999999999467,189.93182180326858,185.0153341002716,-4.916487702996989
2168326043,0.024753704348963002,0.021185972377590616,-0.0035677319713723864,0.05362043990813607,0.0412803680813717,-0.012340071826764373,0.92,0.97,0.04999999999999993,0.0,0.0,0.0,0.6275,0.6525,0.025000000000000022,196.17700691733324,190.57263594165062,-5.604370975682627
4083787026,0.023800346711443324,0.02082233123734558,-0.0029780154740977442,0.052140150639403623,0.03565042536126686,-0.01648972527813676,0.9375,0.9825,0.04500000000000004,0.0,0.0,0.0,0.5825,0.5975,0.015000000000000013,198.5311167728362,194.6539189091314,-3.877197863704822
139096914,0.02408212203252388,0.020247903115583252,-0.003834218916940628,0.05711714638115754,0.03760554023569958,-0.01951160614545796,0.9325,0.9775,0.04500000000000004,0.0,0.0,0.0,0.6025,0.65,0.04749999999999999,189.99685550099207,186.6324455807159,-3.3644099202761595
2787104188,0.02493525988188318,0.021535474822191106,-0.003399785059692073,0.05423254825937015,0.041391648993974205,-0.012840899265395944,0.93,0.97,0.039999999999999925,0.0,0.0,0.0,0.6125,0.63,0.01749999999999996,197.8986390477952,192.6471071192675,-5.251531928527697
3800051595,0.024181126546081275,0.021061481635216987,-0.003119644910864288,0.05459201002007269,0.03958299788976932,-0.015009012130303367,0.935,0.9775,0.04249999999999998,0.0,0.0,0.0,0.6175,0.63,0.012499999999999956,197.65610612836488,191.54830799649056,-6.107798131874318
3860823799,0.02354611110240252,0.020017257752189745,-0.003528853350212774,0.04916796291417279,0.03631931927654632,-0.012848643637626465,0.9525,0.9825,0.030000000000000027,0.0,0.0,0.0,0.6,0.6325,0.03249999999999997,200.49823997933362,196.79424621453265,-3.7039937648009698
2467696937,0.02420960622711921,0.020275408731694766,-0.003934197495424445,0.05300087012486737,0.03685486921117096,-0.01614600091369641,0.925,0.9875,0.0625,0.0,0.0,0.0,0.615,0.635,0.020000000000000018,198.68908843731575,193.65132769632044,-5.03776074099531
2789873607,0.025153576639072927,0.022003166928963883,-0.0031504097101090443,0.05750772012873253,0.047674891021138345,-0.009832829107594185,0.93,0.955,0.02499999999999991,0.0025,0.0,-0.0025,0.6425,0.6675,0.025000000000000022,187.4543121309336,184.20016995170965,-3.2541421792239476
1396082377,0.02538104153057862,0.02075203771009383,-0.004629003820484791,0.055371302518595004,0.03971171381626622,-0.015659588702328787,0.93,0.9775,0.04749999999999999,0.0,0.0,0.0,0.615,0.62,0.0050000000000000044,196.8320379110079,190.37935255696362,-6.452685354044263
2961792469,0.02472780560489193,0.021125203298884516,-0.0036026023060074137,0.05446770533258367,0.03738152167019863,-0.01708618366238504,0.9275,0.97,0.04249999999999998,0.0,0.0,0.0,0.6325,0.645,0.012500000000000067,197.72710632362424,191.92408722148133,-5.803019102142912
1665231446,0.025681287925240125,0.02158080738262619,-0.004100480542613933,0.05951658920200824,0.03738072900660113,-0.022135860195407107,0.925,0.98,0.05499999999999994,0.0,0.0,0.0,0.6,0.6025,0.0025000000000000577,196.44872420705158,187.7663761864171,-8.682348020634493
2745475334,0.02443495883958802,0.021830178397546626,-0.002604780442041394,0.05455935420787156,0.041801018068262634,-0.012758336139608924,0.9325,0.9625,0.030000000000000027,0.0,0.0,0.0,0.6375,0.625,-0.012499999999999956,196.98282219982056,192.7319135595747,-4.250908640245854
2346939559,0.024524381870792967,0.021125056487466952,-0.003399325383326015,0.050143321984855084,0.039711340774688714,-0.01043198121016637,0.945,0.9725,0.02750000000000008,0.0,0.0,0.0,0.6025,0.64,0.03749999999999998,190.34516676188372,189.93358452851,-0.41158223337370714
3840152169,0.02463931769748787,0.02105056943168856,-0.003588748265799309,0.05322198665701979,0.037544789012905484,-0.015677197644114307,0.9275,0.975,0.04749999999999999,0.0,0.0,0.0,0.595,0.6175,0.022500000000000075,197.0394904426726,193.55241322811526,-3.487077214557331
1788932728,0.024127970859952236,0.020890895180147546,-0.0032370756798046907,0.054551323079554175,0.03869661846211944,-0.015854704617434733,0.93,0.98,0.04999999999999993,0.0,0.0,0.0,0.5975,0.6225,0.025000000000000022,194.91556882383065,192.78825565976294,-2.127313164067715
157107374,0.026099079552554735,0.02281734314924041,-0.0032817364033143268,0.0608829168662643,0.046392152758994484,-0.014490764107269814,0.9125,0.955,0.04249999999999998,0.0,0.0,0.0,0.5925,0.63,0.03749999999999998,183.80275057285968,179.73033165230746,-4.072418920552224
3981246462,0.026032044866475063,0.021254231533362252,-0.0047778133331128105,0.05896067684081131,0.03972219651335793,-0.019238480327453386,0.915,0.9675,0.05249999999999999,0.0,0.0,0.0,0.5925,0.6475,0.05499999999999994,195.67246728096234,191.96970568357216,-3.702761597390179
1780000722,0.024931590213808818,0.02059146877877402,-0.004340121435034799,0.057441584508054755,0.03683010697510441,-0.020611477532950347,0.9225,0.9775,0.05500000000000005,0.0,0.0,0.0,0.61,0.6175,0.007500000000000062,199.21215841630118,194.06840882285258,-5.143749593448604
142926489,0.02524864131539899,0.020521574042307922,-0.004727067273091069,0.05659738235393096,0.03762857309566587,-0.018968809258265093,0.925,0.98,0.05499999999999994,0.0,0.0,0.0,0.5725,0.655,0.08250000000000002,198.89045285358978,191.03436562950816,-7.8560872240816195
4167918617,0.024784323805442772,0.020685886418716926,-0.004098437386725846,0.05148805262679349,0.04005577065251687,-0.01143228197427662,0.935,0.975,0.039999999999999925,0.0,0.0,0.0,0.57,0.685,0.1150000000000001,194.14422900835004,188.90873303865058,-5.235495969699457
432899512,0.023902356415592397,0.021333758514931717,-0.0025685979006606803,0.05398409700138585,0.043599458942028796,-0.010384638059357056,0.9375,0.97,0.03249999999999997,0.0,0.0,0.0,0.6425,0.6125,-0.029999999999999916,192.91651087839645,188.64585241813518,-4.270658460261274
367970204,0.024511981374727442,0.02098009136535748,-0.0035318900093699625,0.05115773699641584,0.04274208851071304,-0.008415648485702802,0.9425,0.9725,0.030000000000000027,0.0,0.0,0.0,0.615,0.6775,0.0625,193.33433626271852,190.16158802427236,-3.172748238446161
