seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3415729576,boundary_aware,strong,0.026,0.0317059155536668,0.0731768055471804,0.82,0.0,0.4925,194.4515940431893
3415729576,boundary_aware,strong,0.03,0.0359240371395329,0.0815658783763601,0.7775,0.0025,0.51,194.01513173475115
3415729576,boundary_aware,strong,0.036,0.0421810938516605,0.0976271536825999,0.6975,0.005,0.52,201.23501487170216
3415729576,robust_control_aware,moderate,0.01,0.0155425081915158,0.0350219193624511,0.9725,0.0,0.46,186.23965315183253
3415729576,robust_control_aware,moderate,0.014,0.0169238828846376,0.0380317609749993,0.98,0.0,0.535,183.6500666795933
3415729576,robust_control_aware,moderate,0.018,0.0182060558726865,0.0359185033776467,0.975,0.0,0.5975,190.1943785238325
3415729576,robust_control_aware,moderate,0.02,0.020570074982309,0.0497420880735048,0.95,0.0,0.62,189.9466479614365
3415729576,robust_control_aware,moderate,0.022,0.0201692912229002,0.0460769614621135,0.9575,0.0,0.5975,186.13658324211963
3415729576,robust_control_aware,moderate,0.026,0.0232405546022417,0.0567718872127203,0.945,0.0,0.535,191.6218839983702
3415729576,robust_control_aware,moderate,0.03,0.0249592011470081,0.0575187396233031,0.935,0.0,0.4775,190.6861896640284
3415729576,robust_control_aware,moderate,0.036,0.0287221293367076,0.0791338184991425,0.905,0.0,0.465,194.8573114760809
3415729576,robust_control_aware,strong,0.01,0.0173703466702869,0.0478233471529006,0.9575,0.0,0.46,183.51083297102264
3415729576,robust_control_aware,strong,0.014,0.0193868375636201,0.0488895223487122,0.9525,0.0025,0.54,188.1234951552086
3415729576,robust_control_aware,strong,0.018,0.0208395652162675,0.0476427270049964,0.955,0.0,0.525,190.87865003762204
3415729576,robust_control_aware,strong,0.02,0.0233749255379643,0.0659815374925476,0.915,0.0,0.5725,188.13850912123723
3415729576,robust_control_aware,strong,0.022,0.0239668116996476,0.0628409569757883,0.9175,0.0,0.54,191.35318284204487
3415729576,robust_control_aware,strong,0.026,0.0252022784594058,0.0613945692962663,0.915,0.0,0.525,192.4040265280981
3415729576,robust_control_aware,strong,0.03,0.028324515551695,0.0840808976421867,0.8775,0.0,0.505,195.53541865860203
3415729576,robust_control_aware,strong,0.036,0.0380901532332622,0.1117527432590059,0.77,0.0025,0.49,194.5239844914329
3527629668,boundary_aware,moderate,0.01,0.0147411410803962,0.0389402262490965,0.985,0.0,0.45,177.14426656977176
3527629668,boundary_aware,moderate,0.014,0.018644126837908,0.0465698181986731,0.9675,0.0,0.4975,185.1762020948597
3527629668,boundary_aware,moderate,0.018,0.022560300534415,0.0517589340856664,0.93,0.0,0.48,188.9242593998057
3527629668,boundary_aware,moderate,0.02,0.0242159649047988,0.0593181598073367,0.92,0.0,0.515,191.460304389424
3527629668,boundary_aware,moderate,0.022,0.0267697160729096,0.0634399256301939,0.895,0.0,0.4825,193.65245530279932
3527629668,boundary_aware,moderate,0.026,0.0295328041624257,0.0639733799502687,0.87,0.0,0.515,194.08806638903164
3527629668,boundary_aware,moderate,0.03,0.0356736946951553,0.0855424931111549,0.7975,0.0,0.57,199.02153784427335
3527629668,boundary_aware,moderate,0.036,0.0454630446609664,0.1070399400238862,0.665,0.0,0.5425,204.4570102790182
3527629668,boundary_aware,strong,0.01,0.0191050174814496,0.0483886505686297,0.9625,0.0,0.415,173.09375555618402
3527629668,boundary_aware,strong,0.014,0.0249422958734907,0.0594872795374839,0.905,0.0,0.4225,182.81225835563728
3527629668,boundary_aware,strong,0.018,0.0302222645325217,0.0738407247827983,0.835,0.0,0.4375,186.30288700884256
3527629668,boundary_aware,strong,0.02,0.0309959854656869,0.0745275676848897,0.825,0.0,0.4575,189.22658455625225
3527629668,boundary_aware,strong,0.022,0.0345067548334701,0.0862183777628782,0.8075,0.0,0.4575,188.22578597043665
3527629668,boundary_aware,strong,0.026,0.0379065912819339,0.0895639898580304,0.76,0.0,0.4875,193.84882841964787
3527629668,boundary_aware,strong,0.03,0.0445834055926831,0.1135236050918716,0.6825,0.0025,0.4825,195.60339656871048
3527629668,boundary_aware,strong,0.036,0.0528689411043483,0.1241339689855998,0.58,0.0,0.4975,202.4029393242241
3527629668,robust_control_aware,moderate,0.01,0.0149748570749505,0.0310083857105879,0.9825,0.0,0.4925,181.03278266349
3527629668,robust_control_aware,moderate,0.014,0.016473230812034,0.0330700573320385,0.98,0.0,0.52,186.2891886482323
3527629668,robust_control_aware,moderate,0.018,0.0193174725813421,0.0409463105395512,0.9775,0.0,0.5925,188.14226564722503
3527629668,robust_control_aware,moderate,0.02,0.0206916544339615,0.0461185693646149,0.9525,0.0,0.6125,186.8438139637688
3527629668,robust_control_aware,moderate,0.022,0.0209405799071798,0.0452894711359078,0.96,0.0,0.6325,188.26429148212617
3527629668,robust_control_aware,moderate,0.026,0.0232464014190812,0.0498397946910402,0.95,0.0,0.6,188.2290341441848
3527629668,robust_control_aware,moderate,0.03,0.0264716076856366,0.0667487317196355,0.915,0.0,0.5675,193.83886700060748
3527629668,robust_control_aware,moderate,0.036,0.0340261096667201,0.1003577369393149,0.8175,0.0025,0.485,196.3022138437252
3527629668,robust_control_aware,strong,0.01,0.0198492547047155,0.0556793425940215,0.935,0.0,0.435,184.58956789778483
3527629668,robust_control_aware,strong,0.014,0.0221663634213072,0.0575647358893247,0.92,0.0,0.465,184.1709145890651
3527629668,robust_control_aware,strong,0.018,0.0256005358301422,0.077383739236837,0.8875,0.0,0.5125,188.640753087552
3527629668,robust_control_aware,strong,0.02,0.0294399763651067,0.0875423545645497,0.8625,0.0,0.5,187.13161100194984
3527629668,robust_control_aware,strong,0.022,0.0314621690961783,0.0884959111587292,0.835,0.0025,0.495,191.60791211959983
3527629668,robust_control_aware,strong,0.026,0.0346771122208677,0.1053323669239518,0.81,0.005,0.4975,192.43228080825548
3527629668,robust_control_aware,strong,0.03,0.0429472592748688,0.1301204742748227,0.7475,0.0175,0.545,198.34052383034296
3527629668,robust_control_aware,strong,0.036,0.0528418601458093,0.1546709741843786,0.6375,0.025,0.4825,199.44462810952527
3087008538,boundary_aware,moderate,0.01,0.013724241862332,0.0328512711720168,0.9925,0.0,0.45,184.4290981095645
3087008538,boundary_aware,moderate,0.014,0.016549539352264,0.0366042564154021,0.985,0.0,0.48,191.0906321364728
3087008538,boundary_aware,moderate,0.018,0.0207249990644444,0.0463428199569453,0.965,0.0,0.5025,191.86157828419596
3087008538,boundary_aware,moderate,0.02,0.0221375063319349,0.0499990175710733,0.95,0.0,0.55,193.71292919147413
3087008538,boundary_aware,moderate,0.022,0.0234537439207121,0.0529670670255984,0.9375,0.0,0.535,195.998317143589
3087008538,boundary_aware,moderate,0.026,0.0289413981432168,0.0633682706269249,0.8675,0.0,0.555,199.9792916230924
3087008538,boundary_aware,moderate,0.03,0.0353998099513524,0.0759666766726572,0.7725,0.0,0.5625,202.41382365541293
3087008538,boundary_aware,moderate,0.036,0.0453587218879775,0.102957615735108,0.6475,0.0,0.5425,208.6788939109402
3087008538,boundary_aware,strong,0.01,0.0225812246739468,0.0575162144509057,0.9275,0.0,0.41,183.12904713967103
3087008538,boundary_aware,strong,0.014,0.0256122743003159,0.0656120707697092,0.875,0.0,0.4375,192.52377627412585
