seed,condition,boundary_taskmatched_D,robust_taskmatched_D,delta,task_overlap_low,task_overlap_high
3844007312,strong,0.025292483728836353,0.018982510759467837,-0.006309972969368517,193.0743205448626,201.0592509238921
3505383392,moderate,0.02457044513264715,0.02113305727079988,-0.003437387861847275,187.24880232513647,196.5216881189932
3505383392,strong,0.04141741890186091,0.04253552039954599,0.0011181014976850857,181.96475284258565,196.84981519479885
3798259255,moderate,0.022660763472036348,0.023145311621348454,0.0004845481493121063,185.75668462107384,201.47820676618076
3798259255,strong,0.035505137443683325,0.02692273858168492,-0.008582398861998398,190.84391779422512,199.63070649083332
3601623917,moderate,0.021747147201970834,0.020687327780904926,-0.0010598194210659077,183.7398693928993,194.6509973441951
3601623917,strong,0.038514327297058545,0.025852202714127578,-0.01266212458293097,185.25335842318933,194.99460280581255
3575360530,moderate,0.021199380778397718,0.020400253377057302,-0.0007991274013404153,185.88185533700567,196.7369371069544
3575360530,strong,0.033086302321152984,0.024487453350517566,-0.00859884897063541,186.4137046239623,197.8133076255258
3020961912,moderate,0.020494901446384214,0.01851546829478979,-0.001979433151594426,189.30025206232003,194.80011252379688
3020961912,strong,0.023754186622030746,0.018096062920076945,-0.005658123701953802,186.20500324098649,194.1510106952757
3829334357,moderate,0.02071742882662091,0.019575154894901525,-0.0011422739317193868,184.36149701470893,195.73410455301712
3829334357,strong,0.03336888724651514,0.02490346982794237,-0.008465417418572775,176.96600506050288,197.9017500638573
3997385386,moderate,0.020345712063771976,0.019260401998400924,-0.0010853100653710505,184.75554431118007,195.00209889540724
3997385386,strong,0.0312769564128455,0.026583175404547348,-0.0046937810082981505,181.6564734864055,199.05727391668475
3239878194,moderate,0.02318258889859681,0.025233104835509612,0.0020505159369128036,180.68396402139075,196.06093347617383
3239878194,strong,0.035458546010035015,0.03891434767627644,0.0034558016662414154,185.0911068768872,195.22374567351952
3569329013,moderate,0.02089956953019847,0.017644443505733128,-0.0032551260244653444,188.14510270288912,195.99972440419063
3569329013,strong,0.03135956173141162,0.020618806613945974,-0.010740755117465648,188.16029322354365,197.1002860771407
3957974096,moderate,0.02025860607805609,0.019259372664200233,-0.0009992334138558575,184.6024827543771,196.06475851786905
3957974096,strong,0.0356764152026214,0.030020873665684258,-0.005655541536937135,181.8175868120161,201.02494339748924
3315063384,moderate,0.0212124465902307,0.02035926226493393,-0.0008531843252967733,181.72647711693105,193.8877511382881
3315063384,strong,0.03732545446884646,0.028234313132928644,-0.009091141335917817,183.8382941463313,195.60794072514256
3784839779,moderate,0.019144405863681112,0.017785227487035583,-0.0013591783766455292,182.71878197739912,193.9325585164921
3784839779,strong,0.029860268514171503,0.020227647396627225,-0.009632621117544276,181.9852074697302,194.33671141761323
3638658962,moderate,0.020789547468740503,0.01856815377825289,-0.0022213936904876114,185.18959077383172,197.48175417244107
3638658962,strong,0.03328873529905733,0.024756914429298275,-0.008531820869759054,178.0929963283233,197.12210283453575
3165536940,moderate,0.01907225787124923,0.0199279668748182,0.0008557090035689692,186.2375675049122,197.42326163771295
3165536940,strong,0.030710107772914934,0.024390029534272554,-0.006320078238642376,186.3085395688444,198.40679334498932
3334509926,moderate,0.02907245078139219,0.024945941797270752,-0.004126508984121441,188.8930961946142,199.42550255994064
3334509926,strong,0.044271714307769564,0.04105997237594033,-0.003211741931829234,181.32123208187903,199.66202988332049
3242517335,moderate,0.021068409987264506,0.020437034882245755,-0.0006313751050187451,186.43487619619657,195.07887934467809
3242517335,strong,0.033339500935309914,0.02737414484764631,-0.005965356087663604,181.80623402136848,196.86607182396045
3328610740,moderate,0.02132932264229609,0.02064717335950786,-0.0006821492827882279,184.3365407453045,194.53899608179285
3328610740,strong,0.03833879559641827,0.029130918123267027,-0.009207877473151244,184.83252167091516,196.63729655941083
