seed,experiment,boundary_mean_regret,robust_mean_regret,delta
2892619186,E020,0.00330880990463945,0.00189358555848505,-0.0014152243461544
2510961267,E020,0.00408808834864425,0.00175440283118745,-0.0023336855174568
2677042407,E020,0.00370923284718895,0.0015733165660562999,-0.00213591628113265
2604637939,E020,0.00378467040648205,0.00199767164300855,-0.0017869987634734998
2655425949,E020,0.0037307980858098996,0.00164404102923525,-0.0020867570565746493
2649334850,E020,0.0035607202499770996,0.00243195822948175,-0.0011287620204953495
2705314923,E020,0.00345627926531075,0.00179876812516565,-0.0016575111401451
2755176989,E020,0.00424552323844625,0.0016241992391066,-0.00262132399933965
2550355338,E020,0.0046076710650333995,0.0029925099945214,-0.0016151610705119994
2607438462,E020,0.00392737424679095,0.00192163162849285,-0.0020057426182981
2555182529,E020,0.0036331382429135497,0.00184794685793685,-0.0017851913849766996
2580447233,E020,0.00340930574792795,0.0019018875436458,-0.0015074182042821502
2819992910,E020,0.0034235560085810997,0.00164497128668915,-0.0017785847218919498
2748663038,E020,0.00411775413249885,0.00211485668742845,-0.0020028974450704
2687112636,E020,0.0036449764609601497,0.0024770803074528,-0.0011678961535073495
2747732054,E020,0.00453741061999535,0.0016322033086125,-0.00290520731138285
2825654166,E031,0.0048535471920711,0.004306184047317,-0.0005473631447540997
2742807292,E031,0.0053953438507542,0.00412682213392325,-0.0012685217168309504
2894855845,E031,0.00563303663573235,0.0045259094891001005,-0.0011071271466322492
2733401755,E031,0.0053346284719683005,0.0039691676466041,-0.0013654608253642004
2861302546,E031,0.00528755461921285,0.00455777190388925,-0.0007297827153235998
2573597253,E031,0.00487946600091305,0.00433007499096595,-0.0005493910099471002
2781169015,E031,0.004829245365886499,0.0041422390490460995,-0.0006870063168403998
2667909150,E031,0.005511495687492001,0.0049197994684970995,-0.0005916962189949013
2709708980,E031,0.00526947056522635,0.00459853592885145,-0.0006709346363749005
2733580940,E031,0.0044242294978517,0.00368838974555075,-0.0007358397523009501
2548918344,E031,0.00536854387223625,0.0040871590553719,-0.0012813848168643505
2660772115,E031,0.0050258129467777996,0.004014152011060449,-0.0010116609357173501
2540470214,E031,0.00517891789372215,0.0040204530940728,-0.0011584647996493499
2766388258,E031,0.00408562610588435,0.00385250711887845,-0.00023311898700590023
2752928385,E031,0.00568394668996405,0.0046699690098301,-0.0010139776801339501
2555514464,E031,0.005205750351292,0.00385753831685185,-0.00134821203444015
2694695743,E031,0.0049822955016181995,0.0041451022644934995,-0.0008371932371247
2894316260,E031,0.00589852264721755,0.0043776063059889,-0.0015209163412286501
2832467494,E031,0.0051673252855878,0.00426743867988075,-0.0008998866057070504
2743687989,E031,0.00499410812598085,0.00404579124069165,-0.0009483168852891998
2838926281,E031,0.0051607203331573495,0.0042897591410015,-0.0008709611921558493
2558385932,E031,0.0053500544205535,0.0041059561616133,-0.0012440982589402
2736093629,E031,0.0056714647934585,0.004475041600471651,-0.001196423192986849
2544328892,E031,0.005295742345627,0.0040990446977503,-0.0011966976478767002
2858725238,E031,0.00493630234274745,0.00404697842571695,-0.0008893239170305002
2702836891,E031,0.0053842247078763,0.0046067738688029495,-0.0007774508390733506
2789282674,E031,0.0060239938059092005,0.00448472587257725,-0.0015392679333319503
2705582172,E031,0.0052829118204773505,0.0044510499971715505,-0.0008318618233058
2715587874,E031,0.0050002786657914,0.0040146315253172,-0.0009856471404742
2692147715,E031,0.005633612113591599,0.005141573140231949,-0.00049203897335965
2868003838,E031,0.00576999212985875,0.0045060816790623,-0.0012639104507964505
2739029802,E031,0.00472324796536495,0.0037373973482756504,-0.0009858506170892997
2680261440,E031,0.004590001119319551,0.0037629630222386,-0.0008270380970809505
2551080192,E031,0.0055121915160587995,0.0045979658611612,-0.0009142256548975991
2502308482,E031,0.0060872435729137,0.0048257061343284,-0.0012615374385853
2813832570,E031,0.0059288269007353005,0.00490199946404755,-0.0010268274366877503
2515829757,E031,0.00523959393136895,0.0043377115480711,-0.0009018823832978497
