seed,mse_mean_D,control_mean_D,delta_mean_D
1808828190,0.022376777122581383,0.022185955788314286,-0.00019082133426709738
1734997349,0.023195214194158868,0.021213479669520606,-0.0019817345246382623
63629299,0.02280869142109651,0.022167230505937982,-0.0006414609151585288
1777989688,0.022310807179873705,0.022163961400006444,-0.00014684577986726066
936857442,0.02269268830690961,0.022358078406882916,-0.00033460990002669513
1741320664,0.021945565444931838,0.0215672362740559,-0.00037832917087593856
431991862,0.022424000280572624,0.021177901251671988,-0.0012460990289006359
208727478,0.022482607563895557,0.021097462206551038,-0.0013851453573445194
307193744,0.02326908731146818,0.0215656924640904,-0.0017033948473777795
1345623884,0.022203532420293513,0.02122399294515288,-0.0009795394751406332
871931230,0.022398880574907114,0.020346556676142234,-0.0020523238987648802
573863892,0.022154705625267182,0.021221856969619132,-0.0009328486556480498
331462518,0.022360818099175096,0.021703808866687532,-0.000657009232487564
1033269901,0.023236952661581586,0.0215638098301201,-0.0016731428314614855
1504669754,0.022616076115124627,0.02110210322147248,-0.0015139728936521477
371063617,0.023194773659342516,0.02168647492142469,-0.0015082987379178257
555220982,0.02325783441842928,0.02262245044342821,-0.0006353839750010692
1973098020,0.022266858656437946,0.02158127943837105,-0.0006855792180668965
319697365,0.022182709897854112,0.021753642644104697,-0.00042906725374941557
1957665329,0.02169376651814562,0.021586907411934596,-0.00010685910621102343
1705711115,0.021873899851612148,0.02214273952223386,0.0002688396706217108
1601910288,0.022060461585941063,0.02168058426390995,-0.00037987732203111427
183837943,0.02168412730092059,0.020892047600549836,-0.0007920797003707555
265393696,0.022586231748326552,0.021429923091906725,-0.0011563086564198265
484570007,0.022724628882545988,0.022003056430256542,-0.0007215724522894457
548755135,0.02210157218882218,0.020523642204016812,-0.001577929984805368
1114666717,0.022621936401650496,0.0215151794596772,-0.001106756941973295
566066840,0.022712201848301014,0.022677269222629057,-3.4932625671956624e-05
166282201,0.022860575720529575,0.02183526724779921,-0.0010253084727303644
518680880,0.02127911882603741,0.021111672982379287,-0.0001674458436581247
643483619,0.022937890478392214,0.021430285353388184,-0.00150760512500403
1536039467,0.02257479708010465,0.02216037612701757,-0.00041442095308708016
246365888,0.022542772588601104,0.02178587657542563,-0.0007568960131754746
1528942666,0.021956014006158958,0.021676642955485756,-0.0002793710506732022
342446918,0.02275244109717492,0.021054937363890004,-0.001697503733284915
1458872090,0.024114346126223162,0.022194754131892935,-0.0019195919943302275
1752827889,0.022300085118915833,0.021030146905573907,-0.0012699382133419257
450915004,0.02308580113252816,0.022134794667931574,-0.0009510064645965877
1807906862,0.02271995578718098,0.021430882262842267,-0.001289073524338713
11855327,0.022896634265647187,0.02154522524735179,-0.0013514090182953978
1069848759,0.023768292333430443,0.023262519886263155,-0.0005057724471672874
1372381674,0.0224712848943043,0.022090470629308818,-0.00038081426499548057
785001378,0.0220824333204211,0.02086120084888023,-0.0012212324715408715
559636726,0.022286078578757654,0.02150568228628424,-0.0007803962924734127
