seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
308606681,control_aware,0.02291486317794089,0.05457860317390029,0.9225,0.0,0.4525,201.98916537834157
308606681,mse,0.023242590739634295,0.0549950169846672,0.9225,0.0,0.5125,202.88576956550799
260736158,control_aware,0.021522653680662113,0.0521691191687968,0.94,0.0,0.48,203.95729581405286
260736158,mse,0.02187953479888511,0.05309971907730503,0.935,0.0,0.56,202.3218084496922
743678570,control_aware,0.021743761485250656,0.05300896149363002,0.94,0.0,0.4925,205.5095291451983
743678570,mse,0.022380031484220207,0.05383499810599123,0.93,0.0,0.545,207.020885738775
365554257,control_aware,0.022093833793054313,0.05390739089950796,0.9325,0.0,0.54,201.141041120757
365554257,mse,0.02331331004832209,0.055149968042457254,0.9275,0.0,0.5075,202.73473562363017
1500137520,control_aware,0.021909794684812932,0.05354556641666442,0.935,0.0,0.4975,201.84871074419522
1500137520,mse,0.02307252916911621,0.0565094179442286,0.92,0.0,0.5375,201.85482478501257
1212157452,control_aware,0.021803527786759203,0.0491370648289842,0.95,0.0,0.515,207.72409290723263
1212157452,mse,0.022730100578971645,0.055382274658492256,0.925,0.0,0.505,208.10924004681772
1978800389,control_aware,0.02135085189232588,0.04960842315957168,0.9525,0.0,0.4475,210.6025939446477
1978800389,mse,0.0221357930184452,0.055665346978913184,0.9275,0.0,0.4875,211.07756832839834
1789435814,control_aware,0.02263665923796946,0.05470328052718858,0.9225,0.0,0.4925,197.29256504410517
