seed,boundary_stress_mean_D,robust_control_stress_mean_D,delta
1586847244,0.02689152408755252,0.01876582305085355,-0.00812570103669897
1355937599,0.024518810763657167,0.020006487109008844,-0.004512323654648324
4003953246,0.023688255087515018,0.017500447517028554,-0.006187807570486464
2574173112,0.021107095274096946,0.019121395893150553,-0.001985699380946393
663250219,0.03123490259548297,0.031609193128895735,0.0003742905334127647
1981101797,0.027695535852613196,0.025985594680494155,-0.0017099411721190408
1848209715,0.025053376399143124,0.020092876675968714,-0.004960499723174409
4012012906,0.024857010974894497,0.021353876010467586,-0.0035031349644269114
2066889296,0.022696186274608822,0.018627354794016962,-0.00406883148059186
2839013476,0.031227500836139847,0.025714774863272054,-0.005512725972867793
4045268861,0.034006753480466355,0.035807227532296294,0.0018004740518299395
4008157811,0.022626813198545453,0.02261730881322793,-9.504385317524872e-06
2637445221,0.028986899146902372,0.022079405098430073,-0.006907494048472299
1688535857,0.021810313801190487,0.018998928507211063,-0.0028113852939794237
839215811,0.022257254448189753,0.01982416334090161,-0.002433091107288142
1500849119,0.027993536638451423,0.023375876993999126,-0.004617659644452297
3668171989,0.02373401996585582,0.0180783254068079,-0.005655694559047922
1828316838,0.030401119431781216,0.022305178057875023,-0.008095941373906193
677763140,0.02309325914166612,0.01974525011702055,-0.003348009024645573
1119181405,0.02247964890540972,0.018441172212487752,-0.004038476692921969
2169860784,0.030557739907201266,0.0208297839746094,-0.009727955932591865
3112238724,0.02516513493785494,0.023284241818417352,-0.0018808931194375864
4293715631,0.02890369440812647,0.027617422811493986,-0.001286271596632485
3909568483,0.028866251801372974,0.028783022558458105,-8.322924291486941e-05
1398012131,0.032101396504712686,0.030282086321172554,-0.001819310183540132
1876994406,0.02535082286491964,0.018978660173379472,-0.0063721626915401695
2615751316,0.030182089552433844,0.021302751940547968,-0.008879337611885876
324655747,0.021815388563005488,0.01700742445824767,-0.004807964104757818
1231104955,0.02471429397156769,0.020844540556956063,-0.0038697534146116264
744356947,0.024892504177633112,0.01931835168298094,-0.005574152494652172
3519479534,0.02473231457467588,0.018810444468807794,-0.005921870105868088
4195001948,0.02638227514925486,0.025459905954759228,-0.0009223691944956307
3252170343,0.024467347378090698,0.02034007843639175,-0.004127268941698948
4243111108,0.023455635320865427,0.01880756524066891,-0.004648070080196517
2445008977,0.022515010463686497,0.01819728241411496,-0.004317728049571538
903398518,0.025451883315095625,0.023107099570392062,-0.0023447837447035623
2014023660,0.025432872428572353,0.02169537070579878,-0.0037375017227735743
1691291392,0.02647670047772368,0.03043737535482932,0.003960674877105642
3053498093,0.022113662195684752,0.019453857326374578,-0.002659804869310174
945374663,0.019774403886785474,0.018935318455539755,-0.0008390854312457195
56575796,0.022059860854765582,0.017955802207848717,-0.0041040586469168645
761055821,0.025009864380224178,0.019929678355096243,-0.005080186025127935
2053712420,0.021956032807880006,0.01788481742765237,-0.004071215380227637
3330615544,0.025618712293784176,0.020245978767427647,-0.005372733526356529
1988057494,0.02263423177909024,0.021917305140543325,-0.0007169266385469164
3738784048,0.023983802847877843,0.028759310053605068,0.004775507205727225
2698257310,0.023987668841903925,0.0171239741424978,-0.006863694699406127
3145110617,0.029120799498933772,0.023122851379360616,-0.005997948119573156
3839569303,0.026393180948769128,0.022019006147128123,-0.004374174801641005
1741795387,0.024541803936910293,0.01991768711979234,-0.004624116817117954
1008093370,0.027935968649978833,0.02073240290317302,-0.007203565746805814
578984872,0.024658562471232014,0.020406591520576896,-0.004251970950655118
2934542094,0.031715709882532236,0.03421505030663753,0.0024993404241052952
3187112867,0.029749644598150812,0.02386391472318186,-0.005885729874968951
2389930833,0.029590359448817806,0.025414188870677507,-0.004176170578140299
1292274856,0.03227465298011281,0.021366919806161094,-0.010907733173951717
3203924750,0.024988913535864753,0.024380275389125933,-0.0006086381467388206
2727536461,0.021751776444740793,0.019221174756856495,-0.0025306016878842985
3436844845,0.02547744194434697,0.01998048208515249,-0.005496959859194479
